frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,609.9,392.7,icp_d4_i120,13718.3,0.9944,0.2405,0.673,0.000,0.517
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,609.9,392.7,gicp_d4_i120,16811.3,0.9943,0.2467,0.084,0.626,0.084
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,609.9,392.7,ndt_r3_i120,4542.6,0.9949,0.2428,0.302,0.761,0.260
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,848.6,430.2,icp_d4_i120,13832.0,0.9888,0.2424,0.151,0.000,0.151
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,848.6,430.2,gicp_d4_i120,16856.8,0.9885,0.2477,0.055,0.110,0.047
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,848.6,430.2,ndt_r3_i120,4212.6,0.9892,0.2438,0.539,0.705,0.539
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,650.4,432.3,icp_d4_i120,14968.1,0.9285,0.2491,0.717,0.683,0.542
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,650.4,432.3,gicp_d4_i120,18891.8,0.8941,0.2425,1.266,0.458,1.266
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,650.4,432.3,ndt_r3_i120,4718.3,0.9253,0.2481,0.500,0.291,0.449
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,556.6,356.6,icp_d4_i120,11207.8,0.9793,0.2470,0.831,0.928,0.134
954,1566536029953325705,-72.00,336.00,984,308239,10805,-67.86,338.66,-152.09,0.9784,0,0.0990,0.3077,0.9786,10000,3210,10,2.955,556.6,356.6,gicp_d4_i120,12688.7,0.9786,0.2470,0.102,0.323,0.102
