frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,463.0,360.2,gicp_d2_i30,5313.1,0.9817,0.2491,0.155,0.328,0.155
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,463.0,360.2,gicp_d4_i30,4976.0,0.9817,0.2491,0.163,0.368,0.163
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,463.0,360.2,ndt_r1_i30,2002.9,0.9818,0.2499,0.147,0.394,0.147
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,463.0,360.2,ndt_r2_i30,2262.7,0.9819,0.2479,0.187,0.427,0.187
224,1566535956948012557,24.00,-72.00,522,225257,9723,30.73,-65.20,-63.89,0.9816,1,0.1625,0.3693,0.9817,10000,1704,10,1.402,463.0,360.2,ndt_r3_i30,2188.6,0.9821,0.2466,0.210,0.483,0.210
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,none,7.2,0.9490,0.2444,0.380,2.773,0.380
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,icp_d1_i30,2800.3,0.9516,0.2438,0.376,2.673,0.376
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,icp_d2_i30,3861.9,0.9679,0.2420,0.366,2.037,0.366
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,icp_d4_i30,4621.7,0.9807,0.2433,0.304,1.260,0.304
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,gicp_d1_i30,4982.7,0.9835,0.2457,0.190,0.748,0.184
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,gicp_d2_i30,4802.4,0.9835,0.2419,0.251,0.730,0.187
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,gicp_d4_i30,4857.2,0.9836,0.2441,0.161,0.752,0.161
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,ndt_r1_i30,2245.2,0.9835,0.2467,0.274,0.722,0.274
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,577.6,531.5,ndt_r2_i30,2356.4,0.9835,0.2421,0.298,0.736,0.298
