frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,548.7,418.3,gicp_plugin,16,9950,0.0,4777.1,0.9729,0.2445,0.253,0.506,0.253
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,548.7,418.3,gicp_d4_i60,16,9950,107.4,8456.0,0.9723,0.2471,0.282,0.447,0.282
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,376.1,324.2,gicp_plugin,16,8462,0.0,4995.3,0.9645,0.2512,0.259,0.292,0.256
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,376.1,324.2,gicp_d4_i60,16,8462,97.4,7160.6,0.9642,0.2505,0.214,0.269,0.213
