frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,453.9,373.4,gicp_tuned_tile,16,10901,120.2,11379.7,0.9566,0.2425,1.218,0.275,0.072
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,626.4,394.9,gicp_plugin,16,11233,0.0,5369.2,0.9753,0.2459,0.893,0.456,0.543
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,626.4,394.9,gicp_pluginparams_tile,16,11233,135.7,4732.3,0.9753,0.2472,0.760,0.495,0.585
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,626.4,394.9,gicp_tuned_fullmap,16,11233,0.0,6727.3,0.9753,0.2468,0.046,0.229,0.046
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,626.4,394.9,gicp_tuned_tile,16,11233,148.2,7769.8,0.9753,0.2488,0.102,0.230,0.102
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,572.7,374.7,gicp_plugin,16,11216,0.0,5390.8,0.9783,0.2526,0.087,0.345,0.087
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,572.7,374.7,gicp_pluginparams_tile,16,11216,130.7,4766.5,0.9795,0.2473,0.190,0.246,0.190
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,572.7,374.7,gicp_tuned_fullmap,16,11216,0.0,11289.1,0.7675,0.2460,2.215,7.269,2.215
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,572.7,374.7,gicp_tuned_tile,16,11216,127.6,10329.0,0.9795,0.2469,0.215,0.254,0.215
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,756.2,413.3,gicp_plugin,16,11513,0.0,5235.8,0.6882,0.2564,15.688,41.334,15.162
