frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,566.8,402.1,gicp_d4_i60,16,9950,109.8,8599.3,0.9723,0.2471,0.282,0.447,0.282
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,566.8,402.1,gicp_d4_i60_p2000,16,2000,113.8,9154.1,0.9724,0.2487,0.941,0.618,0.289
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,566.8,402.1,icp_d4_i60,1,9950,0.0,5294.1,0.9722,0.2486,0.333,0.433,0.333
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.2845,0.4414,0.9723,10000,4773,10,1.023,566.8,402.1,ndt_r3_i60_p2000,16,2000,8.1,1936.1,0.9727,0.2450,0.004,0.530,0.004
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,369.3,320.1,gicp_d4_i60,16,8462,99.5,7073.8,0.9642,0.2505,0.214,0.269,0.213
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,369.3,320.1,gicp_d4_i60_p2000,16,2000,105.5,7340.9,0.9641,0.2491,0.201,0.284,0.181
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,369.3,320.1,icp_d4_i60,1,8462,0.0,4801.1,0.9647,0.2517,0.314,0.292,0.101
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,3.410,369.3,320.1,ndt_r3_i60_p2000,16,2000,8.1,2618.8,0.9644,0.2469,0.308,0.385,0.158
