frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg
100,1566535944548265465,72,-1.4e+02,539,230090,9950,66,-1.4e+02,-59,0.9725,0,0,0.9725,10000,4773,10,6e+02,4e+02,none,6,0.8507,0.2506,1.02,4.36
100,1566535944548265465,72,-1.4e+02,539,230090,9950,66,-1.4e+02,-59,0.9725,0,0,0.9725,10000,4773,10,6e+02,4e+02,icp_d2_i20,2e+03,0.9722,0.2488,0.353,0.449
100,1566535944548265465,72,-1.4e+02,539,230090,9950,66,-1.4e+02,-59,0.9725,0,0,0.9725,10000,4773,10,6e+02,4e+02,gicp_d2_i20,4e+03,0.9723,0.2475,0.291,0.45
100,1566535944548265465,72,-1.4e+02,539,230090,9950,66,-1.4e+02,-59,0.9725,0,0,0.9725,10000,4773,10,6e+02,4e+02,ndt_r2_i30,2e+03,0.9726,0.2477,0.121,0.501
200,1566535954552173905,48,-72,514,213597,8462,39,-82,-65,0.9642,0.2044,0.282,0.9643,10000,998,10,4e+02,3e+02,none,8,0.6276,0.2486,3.82,4.03
200,1566535954552173905,48,-72,514,213597,8462,39,-82,-65,0.9642,0.2044,0.282,0.9643,10000,998,10,4e+02,3e+02,icp_d2_i20,2e+03,0.9624,0.2464,1.07,0.587
200,1566535954552173905,48,-72,514,213597,8462,39,-82,-65,0.9642,0.2044,0.282,0.9643,10000,998,10,4e+02,3e+02,gicp_d2_i20,4e+03,0.9643,0.2502,0.204,0.281
200,1566535954552173905,48,-72,514,213597,8462,39,-82,-65,0.9642,0.2044,0.282,0.9643,10000,998,10,4e+02,3e+02,ndt_r2_i30,2e+03,0.9631,0.2389,0.843,0.569
