frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,610.7,478.6,gicp_d4_i240,5242.6,0.9834,0.2456,0.190,0.740,0.190
297,1566535964247888327,0.00,-24.00,617,257232,12943,7.04,-18.22,-60.75,0.9826,1,0.1913,0.7415,0.9834,10000,4085,10,0.380,610.7,478.6,ndt_r3_i240,4443.3,0.9837,0.2399,0.317,0.920,0.317
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,451.5,353.1,icp_d4_i240,6768.5,0.8891,0.2440,0.229,0.266,0.229
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,451.5,353.1,gicp_d4_i240,14973.1,0.8889,0.2433,0.081,0.044,0.079
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,451.5,353.1,ndt_r3_i240,5638.5,0.8895,0.2428,0.505,0.313,0.323
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,433.3,359.5,icp_d4_i240,17065.3,0.9559,0.2451,0.149,0.000,0.149
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,433.3,359.5,gicp_d4_i240,15589.6,0.9565,0.2417,1.332,0.300,0.146
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,433.3,359.5,ndt_r3_i240,8123.9,0.9571,0.2397,0.557,0.553,0.379
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,602.8,378.0,icp_d4_i240,13792.6,0.9754,0.2462,0.534,0.464,0.088
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,602.8,378.0,gicp_d4_i240,20649.2,0.9755,0.2489,0.108,0.260,0.106
