frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,455.6,361.0,icp_d4_i60,5314.3,0.8892,0.2438,0.270,0.423,0.270
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,455.6,361.0,gicp_d6_i30,4994.0,0.8897,0.2436,0.481,0.196,0.078
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,455.6,361.0,gicp_d4_i60,8687.7,0.8892,0.2431,0.277,0.141,0.079
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,455.6,361.0,ndt_r4_i30,2386.7,0.8894,0.2439,0.528,0.379,0.381
370,1566535971554327557,-24.00,24.00,693,281568,11115,-19.73,33.13,-62.45,0.8885,1,0.0813,0.0642,0.8889,10000,2889,10,1.962,455.6,361.0,ndt_r3_i60,3841.6,0.8895,0.2428,0.505,0.313,0.126
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,icp_d6_i30,4780.7,0.9066,0.2449,3.430,1.917,3.430
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,icp_d4_i60,9061.4,0.9384,0.2435,2.354,1.017,2.354
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,gicp_d6_i30,5249.9,0.9566,0.2420,1.325,0.219,0.080
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,gicp_d4_i60,10426.1,0.9566,0.2416,1.327,0.323,0.146
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,ndt_r4_i30,2266.7,0.9569,0.2391,1.298,0.673,1.298
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,427.2,340.7,ndt_r3_i60,4108.0,0.9571,0.2397,0.552,0.554,0.552
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,icp_d6_i30,4950.9,0.9732,0.2483,1.138,0.812,1.138
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,icp_d4_i60,6907.6,0.9748,0.2476,0.991,0.515,0.691
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,gicp_d6_i30,5232.1,0.9755,0.2482,0.145,0.186,0.120
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,gicp_d4_i60,9015.4,0.9755,0.2489,0.108,0.260,0.106
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,ndt_r4_i30,2215.5,0.9756,0.2456,0.453,0.217,0.453
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,590.9,404.7,ndt_r3_i60,3452.7,0.9756,0.2465,0.449,0.276,0.430
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,icp_d6_i30,5427.3,0.9729,0.2439,0.261,1.267,0.261
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,icp_d4_i60,9269.1,0.9793,0.2465,0.144,0.316,0.144
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,gicp_d6_i30,5275.8,0.9794,0.2462,0.129,0.192,0.129
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,gicp_d4_i60,10405.9,0.9794,0.2464,0.152,0.178,0.152
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,ndt_r4_i30,1952.9,0.9795,0.2448,0.522,0.294,0.522
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,606.2,362.0,ndt_r3_i60,3546.0,0.9793,0.2442,0.436,0.189,0.436
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,icp_d6_i30,5629.3,0.6332,0.2484,57.777,74.148,13.819
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,icp_d4_i60,10059.5,0.7332,0.2561,16.491,40.754,12.999
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,gicp_d6_i30,5137.3,0.6958,0.2624,37.543,90.273,15.311
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,gicp_d4_i60,9734.2,0.7121,0.2619,16.210,39.979,11.276
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,ndt_r4_i30,2048.8,0.7125,0.2656,17.149,41.331,12.579
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,771.7,368.3,ndt_r3_i60,3412.7,0.7124,0.2625,18.060,41.854,13.677
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,icp_d6_i30,5475.3,0.8407,0.2466,3.701,4.077,3.701
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,icp_d4_i60,8929.2,0.9876,0.2496,1.110,0.684,1.110
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,gicp_d6_i30,5514.7,0.9943,0.2465,0.084,0.662,0.084
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,gicp_d4_i60,10125.7,0.9943,0.2467,0.151,0.617,0.084
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,ndt_r4_i30,2111.3,0.8356,0.2478,4.370,1.552,4.298
735,1566536008046224830,-192.00,264.00,958,326376,12004,-188.30,259.72,-89.70,0.9948,0,0.1347,0.6300,0.9943,10000,2791,10,7.024,592.1,384.0,ndt_r3_i60,3514.5,0.9791,0.2414,1.302,0.930,1.302
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,icp_d6_i30,4935.7,0.9883,0.2436,0.638,0.205,0.638
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,icp_d4_i60,8990.8,0.9887,0.2435,0.303,0.126,0.303
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,gicp_d6_i30,4951.1,0.9885,0.2476,0.047,0.099,0.047
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,gicp_d4_i60,9656.9,0.9889,0.2400,0.271,0.404,0.047
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,ndt_r4_i30,2338.1,0.9891,0.2419,0.518,0.874,0.518
808,1566536015345953842,-144.00,288.00,1349,356654,12024,-152.34,285.97,-146.96,0.9885,0,0.0465,0.1044,0.9885,10000,5545,10,1.832,930.4,441.7,ndt_r3_i60,3447.2,0.9892,0.2438,0.539,0.705,0.539
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,icp_d6_i30,5501.9,0.9216,0.2490,0.982,0.866,0.473
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,icp_d4_i60,10136.2,0.9281,0.2486,0.386,0.708,0.386
881,1566536022645760706,-96.00,312.00,1104,321922,12698,-107.76,314.25,-147.43,0.9264,0,0.9256,0.3022,0.9202,10000,3613,10,0.821,608.6,434.2,gicp_d6_i30,5550.0,0.8859,0.2429,1.394,0.618,1.394
