frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.0000,0.0000,0.9725,10000,4773,10,573.9,438.3,none,6.1,0.8507,0.2506,1.023,4.362
100,1566535944548265465,72.00,-144.00,539,230090,9950,66.24,-136.29,-58.81,0.9725,0,0.0000,0.0000,0.9725,10000,4773,10,573.9,438.3,icp_d2_i20,2517.2,0.9722,0.2488,0.353,0.449
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,383.2,337.0,none,9.1,0.6276,0.2486,3.824,4.030
200,1566535954552173905,48.00,-72.00,514,213597,8462,38.66,-81.69,-65.20,0.9642,1,0.2044,0.2820,0.9643,10000,998,10,383.2,337.0,icp_d2_i20,2253.1,0.9624,0.2464,1.070,0.587
