frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
443,1566535978854089230,-48.00,72.00,751,277294,10901,-48.60,83.87,-57.34,0.9557,1,0.1392,0.3105,0.9558,10000,3495,10,3.733,437.2,354.0,ndt_r3_i120,16,10901,9.8,6346.3,0.9571,0.2397,0.552,0.554,0.552
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,617.8,407.6,none,0,11233,0.0,9.4,0.6627,0.2569,21.335,12.676,1.499
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,617.8,407.6,gicp_plugin,16,11233,0.0,5270.9,0.9753,0.2459,0.893,0.456,0.543
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,617.8,407.6,gicp_d4_i60,16,11233,156.8,8799.3,0.9755,0.2489,0.108,0.260,0.106
516,1566535986154197362,-72.00,144.00,758,314109,11233,-83.75,137.53,-55.35,0.9753,1,0.1087,0.2581,0.9755,10000,2295,10,1.499,617.8,407.6,ndt_r3_i120,16,11233,11.6,4471.7,0.9756,0.2465,0.449,0.276,0.384
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,609.0,380.7,none,0,11216,0.0,8.4,0.7135,0.2538,1.832,7.058,1.832
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,609.0,380.7,gicp_plugin,16,11216,0.0,5114.3,0.9783,0.2526,0.087,0.345,0.087
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,609.0,380.7,gicp_d4_i60,16,11216,144.7,10307.9,0.9794,0.2464,0.152,0.178,0.152
589,1566535993448103142,-120.00,192.00,936,292436,11216,-120.17,184.36,-50.83,0.9796,0,0.1738,0.1839,0.9796,10000,2463,10,1.832,609.0,380.7,ndt_r3_i120,16,11216,11.2,4593.0,0.9793,0.2442,0.554,0.209,0.436
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,751.2,401.6,none,0,11513,0.0,6.9,0.6127,0.2500,35.293,80.019,13.987
662,1566536000753276080,-168.00,240.00,1172,352767,11513,-160.86,229.68,-42.68,0.9891,0,0.0983,0.3960,0.9896,10000,2606,10,13.987,751.2,401.6,gicp_plugin,16,11513,0.0,5290.4,0.6882,0.2564,15.688,41.334,15.162
